id;success_text;failure_text;skip_text;challange_difficulty;challenge_type;failure_result;success_result;skip_result;s_w;e;n_w;n;s_e;s;n_e;w
1;drive reboot sticky;navigate solid;reboot;MEDIUM;SWIFT;R_MINUS;ONE_MOVE;ONE_MOVE;Auto;Coordinator;Rufiyaa THX Loan;full-range Malawi 1080p;Refined payment Books;panel;Oregon;Optimization
2;revolutionary Extended;Awesome integrate;attitude-oriented Coordinator payment;EASY;SOURCEROUS;NULL;ONE_R;ONE_MOVE;user-centric;copy;Frozen Licensed Director;initiatives;Ethiopian Toys matrix;Borders Bulgarian convergence;override;Facilitator Cayman navigating
3;magenta;silver Unbranded;models Global;EASY;SWIFT;ONE_MOVE;ONE_R;ONE_MOVE;forecast Hat;algorithm Architect withdrawal;copying Table;Producer;Optimization Granite Village;toolset;Islands administration Mountain;transmitting
4;HTTP;withdrawal Electronics rich;Fish wireless Buckinghamshire;HARD;SWIFT;NULL;ONE_B;ONE_MOVE;SDD monitor;Plastic;Personal Granite Sleek;Consultant well-modulated;Frozen;Denar;Licensed bottom-line Product;web Fresh
5;Connecticut Sudan International;Nepal;Cotton;HARD;STRONG;NULL;ONE_R;ONE_MOVE;auxiliary e-tailers;Junction Berkshire UAE;Cliff withdrawal Investor;Metical;integrated one-to-one;orchid Chile;installation Republic;digital
6;Chair;navigate;mesh Kids Jamaica;MEDIUM;STRONG;NULL;ONE_R;ONE_MOVE;reintermediate Steel SQL;Coordinator;administration;Ergonomic;orchestrate microchip;Fish algorithm;Michigan;Bacon programming
7;Operative productize Point;Facilitator;card Regional Steel;HARD;SOURCEROUS;R_MINUS;ONE_R;ONE_MOVE;Chicken Operations Agent;Pants Borders logistical;Ball CSS;Ergonomic Soft;Kansas global;repurpose payment;SMTP;24 Bike Planner
8;capacitor Assurance cultivate;overriding Sleek;Refined;EASY;SOURCEROUS;NULL;ONE_R;NULL;time-frame Practical;deliver real-time Auto;copy frame;ivory Web array;Facilitator Garden;customized Music Human;Avon bandwidth;black Salad Outdoors
9;utilisation Australian withdrawal;Berkshire redundant Cambridgeshire;attitude-oriented;EASY;STRONG;ONE_MOVE;ONE_B;ONE_MOVE;Branding synthesizing redundant;aggregate invoice Home;Gorgeous Tugrik Small;Tennessee explicit Branding;Investment;technologies PCI;Territories mindshare Open-source;open-source orchestrate Practical
10;deposit Borders;hack;Synchronised Intelligent;MEDIUM;SWIFT;TWO_MOVES;ONE_R;ONE_MOVE;Frozen;tertiary Outdoors;systems driver;Cliffs matrix;national invoice cyan;Sleek;salmon strategic Franc;Pizza leverage
