id;intro_text;success_text;failure_text;skip_text;challenge_name;difficulty;prize_number;challange_rating;sacrifice_number;skip_result
1;Tuna;Exclusive Research;Principal Licensed Peso;system;SWIFT;HIGH;Refined COM;Books Frozen;firewall transmit;synthesizing Ergonomic
2;copying bypassing;Concrete Idaho mint;yellow Direct;concept;STRONG;LOW;Metal transmitter;Grocery Guinea;syndicate Assurance Delaware;Arkansas Ball
3;programming;Shoes Dollar;Steel Central;demand-driven COM;STRONG;LOW;Cambridgeshire;Frozen Iceland infrastructures;mission-critical;Samoa bleeding-edge
4;deliverables architectures grey;THX California teal;Automotive;Account Soft;SOURCEROUS;MEDIUM;Small;Arkansas;payment Lari Hat;product
5;Passage target discrete;Configuration Arizona Metal;Buckinghamshire unleash Chicken;Investor Bedfordshire Soft;SWIFT;MEDIUM;asymmetric Bedfordshire Technician;Nebraska target;Computers calculate firewall;Table Gorgeous
6;blue deposit Gloves;reintermediate invoice pink;Plastic Senior Group;Account Island;SOURCEROUS;MEDIUM;Prairie;Tasty;red Internal state;next-generation Architect
7;mesh;Cambridgeshire hardware;Secured;Kansas capacitor payment;SOURCEROUS;HIGH;Jersey;Regional;discrete;Handcrafted
8;Planner cross-media;HDD Forges Intranet;Buckinghamshire Loan Mouse;ivory redundant;STRONG;HIGH;Rico Keyboard communities;infomediaries Sausages;Internal;Engineer Configuration
9;monitor;bleeding-edge Savings;Metal innovative system;primary Cambridgeshire;STRONG;MEDIUM;Virtual matrices;virtual moderator;web-enabled digital District;Concrete
10;Web Metal magenta;sensor reinvent Market;zero overriding;Berkshire Hat Savings;SWIFT;LOW;Cheese leading-edge Indiana;Manager;evolve lavender of;Producer
